principio_ativo;campo;motivo;fonte
alprostadil 250mcg/ml (ampola 1ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);tempo_infusao_min;tempo de infusão não informado ou administração em bolus;HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
alteplase 50mg (frasco-ampola);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
alteplase 50mg (frasco-ampola);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
alteplase 50mg (frasco-ampola);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
alteplase 50mg (frasco-ampola);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
alteplase 50mg (frasco-ampola);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
alteplase 50mg (frasco-ampola);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
alteplase 50mg (frasco-ampola);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
alteplase 50mg (frasco-ampola);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
alteplase 50mg (frasco-ampola);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
alteplase 50mg (frasco-ampola);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
alteplase 50mg (frasco-ampola);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
amoxicilina 500mg + clavulanato 100mg (frasco-ampola);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
amoxicilina 500mg + clavulanato 100mg (frasco-ampola);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
amoxicilina 500mg + clavulanato 100mg (frasco-ampola);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
amoxicilina 500mg + clavulanato 100mg (frasco-ampola);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
amoxicilina 500mg + clavulanato 100mg (frasco-ampola);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
amoxicilina 500mg + clavulanato 100mg (frasco-ampola);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
amoxicilina 500mg + clavulanato 100mg (frasco-ampola);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
amoxicilina 500mg + clavulanato 100mg (frasco-ampola);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
amoxicilina 500mg + clavulanato 100mg (frasco-ampola);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
amoxicilina 500mg + clavulanato 100mg (frasco-ampola);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
amoxicilina 500mg + clavulanato 100mg (frasco-ampola);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
