principio_ativo;campo;motivo;fonte
claritromicina 500mg (frasco-ampola);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
claritromicina 500mg (frasco-ampola);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
claritromicina 500mg (frasco-ampola);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
claritromicina 500mg (frasco-ampola);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
claritromicina 500mg (frasco-ampola);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
claritromicina 500mg (frasco-ampola);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
claritromicina 500mg (frasco-ampola);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
claritromicina 500mg (frasco-ampola);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
clindamicina 300mg (ampola 2ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
clindamicina 300mg (ampola 2ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
clindamicina 300mg (ampola 2ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
clindamicina 300mg (ampola 2ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
clindamicina 300mg (ampola 2ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
clindamicina 300mg (ampola 2ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
clindamicina 300mg (ampola 2ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
clindamicina 300mg (ampola 2ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
clindamicina 300mg (ampola 2ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
clindamicina 300mg (ampola 2ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
clindamicina 300mg (ampola 2ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
clonidina 150mcg/ml (ampola 1ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
clonidina 150mcg/ml (ampola 1ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
clonidina 150mcg/ml (ampola 1ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
clonidina 150mcg/ml (ampola 1ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
clonidina 150mcg/ml (ampola 1ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
clonidina 150mcg/ml (ampola 1ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
clonidina 150mcg/ml (ampola 1ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
clonidina 150mcg/ml (ampola 1ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
clonidina 150mcg/ml (ampola 1ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
clonidina 150mcg/ml (ampola 1ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
clonidina 150mcg/ml (ampola 1ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
cloreto de (ampola 10ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
cloreto de (ampola 10ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
cloreto de (ampola 10ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
cloreto de (ampola 10ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
cloreto de (ampola 10ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
cloreto de (ampola 10ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
cloreto de (ampola 10ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
cloreto de (ampola 10ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
cloreto de (ampola 10ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
cloreto de (ampola 10ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
cloreto de (ampola 10ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);diluicao_solucao;solução de diluição não informada no guia (via não é EV ou sem diluição);HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
contraste radiologico - oleo de papoula iodado (10ml) delpharm intralin fatica intra arteria seletiv hepati ca intra uterin (variavel conforme o tipo de procediment o);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;diluicao_solucao;solução de diluição não informada no guia (via não é EV ou sem diluição);HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;tempo_infusao_min;tempo de infusão não informado ou administração em bolus;HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
complexo protrombinico 20ml diluente proprio (agua para injetaveis) uso imediato na na na 2ml/min sodio por frasco. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025 humano 600 ui (frasco-ampola) ta keda pharma ler orientacoes de preparo na bula.;incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
daptomicina 500 mg (frasco-ampola);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
daptomicina 500 mg (frasco-ampola);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
daptomicina 500 mg (frasco-ampola);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
daptomicina 500 mg (frasco-ampola);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
daptomicina 500 mg (frasco-ampola);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
daptomicina 500 mg (frasco-ampola);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
daptomicina 500 mg (frasco-ampola);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
daptomicina 500 mg (frasco-ampola);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
daptomicina 500 mg (frasco-ampola);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
daptomicina 500 mg (frasco-ampola);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
daptomicina 500 mg (frasco-ampola);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
dantroleno 20mg (frasco-ampola);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
dantroleno 20mg (frasco-ampola);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
dantroleno 20mg (frasco-ampola);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
dantroleno 20mg (frasco-ampola);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
dantroleno 20mg (frasco-ampola);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
dantroleno 20mg (frasco-ampola);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
dantroleno 20mg (frasco-ampola);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
dantroleno 20mg (frasco-ampola);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
dantroleno 20mg (frasco-ampola);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
dantroleno 20mg (frasco-ampola);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
dantroleno 20mg (frasco-ampola);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
mesilato 500mg (frasco-ampola);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
mesilato 500mg (frasco-ampola);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
mesilato 500mg (frasco-ampola);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
mesilato 500mg (frasco-ampola);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
mesilato 500mg (frasco-ampola);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
mesilato 500mg (frasco-ampola);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
mesilato 500mg (frasco-ampola);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
mesilato 500mg (frasco-ampola);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
mesilato 500mg (frasco-ampola);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
mesilato 500mg (frasco-ampola);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
mesilato 500mg (frasco-ampola);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
desmopressina 4mcg/ml;reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
desmopressina 4mcg/ml;reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
desmopressina 4mcg/ml;reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
desmopressina 4mcg/ml;concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
desmopressina 4mcg/ml;velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
desmopressina 4mcg/ml;estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
desmopressina 4mcg/ml;estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
desmopressina 4mcg/ml;fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
desmopressina 4mcg/ml;acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
desmopressina 4mcg/ml;ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
desmopressina 4mcg/ml;incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
dexmedetomidina 100mcg/ml (frasco 2ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
dexmedetomidina 100mcg/ml (frasco 2ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
dexmedetomidina 100mcg/ml (frasco 2ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
dexmedetomidina 100mcg/ml (frasco 2ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
dexmedetomidina 100mcg/ml (frasco 2ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
dexmedetomidina 100mcg/ml (frasco 2ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
dexmedetomidina 100mcg/ml (frasco 2ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
dexmedetomidina 100mcg/ml (frasco 2ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
dexmedetomidina 100mcg/ml (frasco 2ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
dexmedetomidina 100mcg/ml (frasco 2ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
dexmedetomidina 100mcg/ml (frasco 2ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
difenidramina (ampola 1ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
difenidramina (ampola 1ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
difenidramina (ampola 1ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
difenidramina (ampola 1ml);diluicao_volume_min_ml;volume de diluição não capturado pelo parser;HU-UFGD_v3
difenidramina (ampola 1ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
difenidramina (ampola 1ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
difenidramina (ampola 1ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
difenidramina (ampola 1ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
difenidramina (ampola 1ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
difenidramina (ampola 1ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
difenidramina (ampola 1ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
difenidramina (ampola 1ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
dimenidrinato + piridoxina (vitamina b6) (ampola 10ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
dimenidrinato + piridoxina (vitamina b6) (ampola 10ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
dimenidrinato + piridoxina (vitamina b6) (ampola 10ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
dimenidrinato + piridoxina (vitamina b6) (ampola 10ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
dimenidrinato + piridoxina (vitamina b6) (ampola 10ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
dimenidrinato + piridoxina (vitamina b6) (ampola 10ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
dimenidrinato + piridoxina (vitamina b6) (ampola 10ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
dimenidrinato + piridoxina (vitamina b6) (ampola 10ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
dimenidrinato + piridoxina (vitamina b6) (ampola 10ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
dimenidrinato + piridoxina (vitamina b6) (ampola 10ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
dimenidrinato + piridoxina (vitamina b6) (ampola 10ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
enoxaparina 20mg;reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
enoxaparina 20mg;reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
enoxaparina 20mg;reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
enoxaparina 20mg;concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
enoxaparina 20mg;velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
enoxaparina 20mg;estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
enoxaparina 20mg;estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
enoxaparina 20mg;fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
enoxaparina 20mg;acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
enoxaparina 20mg;ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
enoxaparina 20mg;incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
enoxaparina 40mg;reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
enoxaparina 40mg;reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
enoxaparina 40mg;reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
enoxaparina 40mg;concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
enoxaparina 40mg;velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
enoxaparina 40mg;estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
enoxaparina 40mg;estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
enoxaparina 40mg;fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
enoxaparina 40mg;acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
enoxaparina 40mg;ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
enoxaparina 40mg;incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
enoxaparina 60mg;reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
enoxaparina 60mg;reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
enoxaparina 60mg;reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
enoxaparina 60mg;concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
enoxaparina 60mg;velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
enoxaparina 60mg;estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
enoxaparina 60mg;estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
enoxaparina 60mg;fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
enoxaparina 60mg;acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
enoxaparina 60mg;ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
enoxaparina 60mg;incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
enoxaparina 80mg;reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
enoxaparina 80mg;reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
enoxaparina 80mg;reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
enoxaparina 80mg;concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
enoxaparina 80mg;velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
enoxaparina 80mg;estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
enoxaparina 80mg;estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
enoxaparina 80mg;fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
enoxaparina 80mg;acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
enoxaparina 80mg;ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
enoxaparina 80mg;incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
escetamina 50mg/ml (ampola 2ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
escetamina 50mg/ml (ampola 2ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
escetamina 50mg/ml (ampola 2ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
escetamina 50mg/ml (ampola 2ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
escetamina 50mg/ml (ampola 2ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
escetamina 50mg/ml (ampola 2ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
escetamina 50mg/ml (ampola 2ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
escetamina 50mg/ml (ampola 2ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
escetamina 50mg/ml (ampola 2ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
escetamina 50mg/ml (ampola 2ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
escetamina 50mg/ml (ampola 2ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
escopolamina 4mg/ml + dipirona 500mg/ml (ampola 5ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
escopolamina 4mg/ml + dipirona 500mg/ml (ampola 5ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
escopolamina 4mg/ml + dipirona 500mg/ml (ampola 5ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
escopolamina 4mg/ml + dipirona 500mg/ml (ampola 5ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
escopolamina 4mg/ml + dipirona 500mg/ml (ampola 5ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
escopolamina 4mg/ml + dipirona 500mg/ml (ampola 5ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
escopolamina 4mg/ml + dipirona 500mg/ml (ampola 5ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
escopolamina 4mg/ml + dipirona 500mg/ml (ampola 5ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
escopolamina 4mg/ml + dipirona 500mg/ml (ampola 5ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
escopolamina 4mg/ml + dipirona 500mg/ml (ampola 5ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
escopolamina 4mg/ml + dipirona 500mg/ml (ampola 5ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
etilefrina 10 mg/ml (frasco-ampola);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
etilefrina 10 mg/ml (frasco-ampola);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
etilefrina 10 mg/ml (frasco-ampola);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
etilefrina 10 mg/ml (frasco-ampola);diluicao_volume_min_ml;volume de diluição não capturado pelo parser;HU-UFGD_v3
etilefrina 10 mg/ml (frasco-ampola);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
etilefrina 10 mg/ml (frasco-ampola);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
etilefrina 10 mg/ml (frasco-ampola);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
etilefrina 10 mg/ml (frasco-ampola);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
